policy,seed,success,collision,timeout,n_steps,total_reward,gcr
social_force+taga,44,1,0,0,159,43.614,0.0
social_force+taga,45,1,0,0,114,43.286,0.0
social_force+taga,46,1,0,0,102,36.202,0.0
social_force+taga,47,0,0,1,194,15.956,0.0
social_force+taga,48,1,0,0,120,34.102,0.0
social_force+taga,49,0,1,0,37,-7.223,0.0
social_force+taga,50,1,0,0,68,38.4,0.0
social_force+taga,51,0,0,1,194,33.855,0.0
social_force+taga,52,0,1,0,89,12.397,0.0
social_force+taga,53,0,1,0,26,-11.838,0.0
social_force+taga,54,1,0,0,56,38.258,0.0
social_force+taga,55,0,1,0,20,-13.132,0.0
social_force+taga,56,1,0,0,157,30.674,0.0
social_force+taga,57,1,0,0,95,35.89,0.0
social_force+taga,58,0,1,0,14,0.48,0.0
social_force+taga,59,1,0,0,112,32.286,0.0
social_force+taga,60,1,0,0,135,59.899,0.0
social_force+taga,61,1,0,0,120,43.449,0.0
social_force+taga,62,0,1,0,15,-18.036,0.0
social_force+taga,63,0,1,0,103,5.391,0.0
social_force+taga,64,0,1,0,79,-4.903,0.0
social_force+taga,65,0,1,0,37,1.101,0.0
social_force+taga,66,1,0,0,96,36.697,0.0
social_force+taga,67,0,0,1,194,19.636,0.0
social_force+taga,68,0,1,0,95,7.587,0.0
social_force+taga,69,1,0,0,66,26.358,0.0
social_force+taga,70,0,1,0,58,-3.855,0.0
social_force+taga,71,0,1,0,12,-15.727,0.0
social_force+taga,72,0,1,0,58,-3.846,0.0
social_force+taga,73,1,0,0,110,45.859,0.0
social_force+taga,74,1,0,0,70,37.686,0.0
social_force+taga,75,0,1,0,55,-14.67,0.0
social_force+taga,76,0,1,0,66,6.697,0.0
social_force+taga,77,0,0,1,194,46.063,0.0
social_force+taga,78,1,0,0,65,35.557,0.0
social_force+taga,79,1,0,0,55,32.881,0.0
social_force+taga,80,0,1,0,18,-18.623,0.0
social_force+taga,81,0,0,1,194,13.066,0.0
social_force+taga,82,0,1,0,41,-9.79,0.0
social_force+taga,83,1,0,0,107,35.924,0.0
social_force+taga,84,0,1,0,52,-4.291,0.0
social_force+taga,85,0,1,0,16,-14.149,0.0
social_force+taga,86,0,1,0,67,-2.771,0.0
social_force+taga,87,0,1,0,99,-5.961,0.0
social_force+taga,88,0,1,0,31,-9.689,0.0
social_force+taga,89,0,1,0,22,-12.096,0.0
social_force+taga,90,1,0,0,100,34.102,0.0
social_force+taga,91,1,0,0,69,58.138,0.0
social_force+taga,92,0,1,0,33,-14.504,0.0
social_force+taga,93,0,1,0,25,-9.513,0.0
social_force+taga,94,1,0,0,74,33.878,0.0
social_force+taga,95,0,0,1,194,62.899,0.0
social_force+taga,96,0,1,0,28,-8.512,0.0
social_force+taga,97,0,1,0,67,-34.28,0.0896
social_force+taga,98,0,1,0,26,-3.935,0.0
social_force+taga,99,1,0,0,70,32.468,0.0
intention_rl,0,1,0,0,42,28.726,0.0
intention_rl,1,1,0,0,49,31.931,0.0
intention_rl,2,1,0,0,67,34.014,0.0
intention_rl,3,1,0,0,48,28.02,0.0
intention_rl,4,1,0,0,53,33.215,0.0
intention_rl,5,1,0,0,85,36.583,0.0
intention_rl,6,1,0,0,58,46.608,0.0
intention_rl,7,1,0,0,43,27.266,0.0
intention_rl,8,1,0,0,52,25.62,0.0
intention_rl,9,0,1,0,38,-3.995,0.0
intention_rl,10,1,0,0,54,40.967,0.0
intention_rl,11,0,1,0,12,-15.352,0.0
intention_rl,12,1,0,0,58,27.063,0.0
intention_rl,13,1,0,0,75,38.842,0.0
intention_rl,14,1,0,0,51,31.109,0.0
intention_rl,15,1,0,0,48,27.513,0.0
intention_rl,16,1,0,0,50,30.561,0.0
intention_rl,17,1,0,0,43,30.414,0.0
intention_rl,18,1,0,0,76,39.738,0.0
intention_rl,19,1,0,0,99,36.206,0.0
intention_rl,20,1,0,0,57,33.778,0.0
intention_rl,21,1,0,0,56,40.862,0.0
intention_rl,22,1,0,0,72,36.297,0.0
intention_rl,23,1,0,0,52,33.33,0.0
intention_rl,24,1,0,0,75,48.336,0.0
intention_rl,25,1,0,0,78,50.24,0.0
intention_rl,26,1,0,0,65,53.551,0.0
intention_rl,27,1,0,0,87,50.458,0.0
intention_rl,28,1,0,0,45,29.329,0.0
intention_rl,29,1,0,0,55,34.271,0.0
intention_rl,30,0,1,0,40,-1.271,0.0
intention_rl,31,1,0,0,50,32.831,0.0
intention_rl,32,1,0,0,50,8.163,0.12
intention_rl,33,1,0,0,66,41.648,0.0
intention_rl,34,1,0,0,88,51.55,0.0
intention_rl,35,1,0,0,48,28.486,0.0
intention_rl,36,0,1,0,45,7.877,0.0
intention_rl,37,1,0,0,71,35.212,0.0
intention_rl,38,1,0,0,48,9.958,0.0833
intention_rl,39,1,0,0,58,31.854,0.0
intention_rl,40,1,0,0,64,31.177,0.0
